
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2015-05-18;26.916,05;3662344147613;28.445,25;2726753754845;28.410,15;3899739933257;27.183,86;143200160541;26.495,42;620251011061;26.837,38;5401025309738
2015-05-19;26.950,03;3665969506209;28.494,81;2730404273730;28.452,84;3905462122581;27.214,57;143363798670;26.525,51;621008674115;26.867,58;5406249178498
2015-05-20;26.997,08;3668060430102;28.557,46;2733867763895;28.515,49;3912954640955;27.261,20;143572636489;26.574,82;623025226534;26.922,22;5418890336480
2015-05-21;26.997,08;3668060430102;28.557,46;2733867763895;28.515,49;3912954640955;27.261,20;143572636489;26.574,82;623025226534;26.922,22;5418890336480
2015-05-22;27.019,74;3668872868158;28.572,04;2736317749174;28.534,05;3914584722990;27.294,55;143807514912;26.597,27;623427213286;26.948,13;5422213467391
2015-05-23;27.019,74;3668872868158;28.572,04;2736317749174;28.534,05;3914584722990;27.294,55;143807514912;26.597,27;623427213286;26.948,13;5422213467391
2015-05-24;27.019,74;3668872868158;28.572,04;2736317749174;28.534,05;3914584722990;27.294,55;143807514912;26.597,27;623427213286;26.948,13;5422213467391
2015-05-25;27.064,24;3673494157747;28.620,58;2740232539568;28.589,36;3924823879339;27.331,97;143992739808;26.633,49;624546605881;26.992,01;5429410687190
2015-05-26;27.091,84;3678037828628;28.642,11;2740924853218;28.629,36;3929864719918;27.364,42;144064494495;26.662,19;625258109711;27.016,28;5436280604952
2015-05-27;27.088,78;3674594659035;28.641,75;2740392314657;28.631,28;3931584336455;27.368,45;144003764720;26.657,74;625316885013;27.008,63;5434314522697
2015-05-28;27.145,73;3679956736076;28.698,51;2746045304149;28.687,26;3937296631696;27.418,64;144429678905;26.703,92;626471044689;27.060,75;5447572985349
2015-05-29;27.151,71;3706123173224;28.694,34;2759598742632;28.686,02;3964907754859;27.433,84;144863949709;26.711,50;630647043932;27.062,16;5490912423693
2015-05-30;27.151,71;3706123173224;28.694,34;2759598742632;28.686,02;3964907754859;27.433,84;144863949709;26.711,50;630647043932;27.062,16;5490912423693
2015-05-31;27.151,71;3706123173224;28.694,34;2759598742632;28.686,02;3964907754859;27.433,84;144863949709;26.711,50;630647043932;27.062,16;5490912423693
2015-06-01;27.139,63;3702702873675;28.692,79;2760801436798;28.692,79;3964608831374;27.428,53;145290164082;26.711,41;630117503896;27.054,62;5481634095867
2015-06-02;27.192,67;3708035866082;28.747,45;2765310118841;28.744,33;3970895813493;27.479,88;145625174744;26.751,48;631505801709;27.100,75;5490870314625
2015-06-03;27.176,00;3706267220731;28.721,76;2762278602067;28.718,88;3967826219916;27.471,89;145518753813;26.737,02;630096060331;27.071,49;5485631410489
2015-06-04;27.222,65;3711166198279;28.768,82;2764950734563;28.760,93;3971995519016;27.514,31;145752103254;26.769,32;631368268579;27.103,12;5491123032425
2015-06-05;27.211,36;3707977813863;28.755,34;2763873622890;28.744,31;3969685708736;27.510,10;146055612462;26.754,78;630589972494;27.089,35;5488245589780
2015-06-06;27.211,36;3707977813863;28.755,34;2763873622890;28.744,31;3969685708736;27.510,10;146055612462;26.754,78;630589972494;27.089,35;5488245589780
2015-06-07;27.211,36;3707977813863;28.755,34;2763873622890;28.744,31;3969685708736;27.510,10;146055612462;26.754,78;630589972494;27.089,35;5488245589780
2015-06-08;27.268,77;3716745700602;28.819,99;2770390108111;28.807,22;3978281765958;27.563,80;146355913869;26.796,34;631613368743;27.139,64;5493659238057
2015-06-09;27.222,99;3708686121338;28.770,08;2762413113474;28.757,46;3968683469496;27.518,92;146027494822;26.753,43;630478542607;27.086,71;5481125339261
2015-06-10;27.097,00;3695640709354;28.641,68;2750355764715;28.627,81;3951317835799;27.396,85;145381439403;26.637,80;627833469398;26.953,72;5453396600811
2015-06-11;27.104,02;3698034959588;28.643,73;2745326603184;28.661,55;3955138472445;27.424,40;145620346327;26.651,84;628182520835;26.926,52;5447337336972
2015-06-12;27.192,59;3704630701588;28.735,53;2756859296600;28.728,48;3956245683416;27.523,70;146586851918;26.729,78;630102772222;27.013,16;5461306448176
2015-06-13;27.192,59;3704630701588;28.735,53;2756859296600;28.728,48;3956245683416;27.523,70;146586851918;26.729,78;630102772222;27.013,16;5461306448176
2015-06-14;27.192,59;3704630701588;28.735,53;2756859296600;28.728,48;3956245683416;27.523,70;146586851918;26.729,78;630102772222;27.013,16;5461306448176
2015-06-15;27.163,91;3700896221589;28.692,40;2754229331132;28.698,10;3953103061225;27.469,86;146969228116;26.701,42;626894355649;26.992,57;5455755508315
2015-06-16;27.149,51;3703314375606;28.679,98;2752798438069;28.688,89;3951277080592;27.471,83;147134662390;26.696,39;626904804831;26.990,72;5456772903715
2015-06-17;27.139,77;3700830627558;28.672,25;2750265085507;28.680,73;3949947810198;27.462,97;146612710672;26.690,22;627206421840;26.977,44;5447421550753
2015-06-18;27.185,51;3706273656860;28.715,61;2753692205473;28.723,87;3954374740077;27.517,92;146749180069;26.727,04;628151080086;27.019,36;5454076751036
2015-06-19;27.123,97;3695714122882;28.642,87;2745497335006;28.653,27;3945322336463;27.464,58;146539135351;26.677,06;627066868962;26.948,92;5438535422755
